ID,Position,Beats
1,8,0.5
2,8,0.5
3,8,0.5
4,0,0
5,8,0.5
6,0,0
7,0,0
8,16,1
9,0,0
10,24,1.5
11,0,0
12,0,0
13,8,0.5
14,0,0
15,16,1
16,16,1
17,8,0.5
18,8,0.5
19,0,0
20,0,0
21,16,1
22,0,0
23,177,11.0625
24,0,0
25,63,3.9375
26,0,0
27,0,0
28,12,0.75
29,0,0
30,-6,-0.375
31,24,1.5
32,15,0.9375
33,8,0.5
35,16,1
36,0,0
37,10,0.625
38,0,0
39,0,0
40,0,0
41,16,1
42,0,0
43,32,2
44,0,0
45,4,0.25
46,472,29.5
47,16,1
48,0,0
49,40,2.5
50,8,0.5
51,0,0
52,0,0
53,8,0.5
54,8,0.5
55,0,0
56,69,
57,8,0.5
58,0,0
59,8,0.5
60,0,0
61,0,0
63,443,27.6875
64,34,2.125
65,48,3
66,16,1
67,0,0
68,176,11
69,4,0.25
70,0,0
71,0,0
72,0,0
73,0,0
74,0,0
75,3,0.1875
76,0,0
77,32,2
78,64,4
79,57,3.5625
80,353,22.0625
81,36,2.25
82,8,0.5
83,0,0
84,0,0
85,0,0
86,0,0
87,16,1
88,0,0
89,0,0
90,48,3
91,0,0
92,0,0
93,0,0
94,12,0.75
95,0,0
96,16,1
97,32,2
98,0,0
99,0,0
100,32,2
101,0,0
103,32,2
104,0,0
105,16,1
106,7,0.4375
108,16,1
109,16,1
110,24,1.5
111,18,1.125
112,0,0
113,0,0
114,0,0
115,16,1
116,24,1.5
117,0,0
118,0,0
119,16,1
120,16,1
121,0,0
122,0,0
123,373,23.3125
124,0,0
125,32,2
126,0,0
127,0,0
128,8,0.5
129,24,1.5
130,0,0
131,0,0
132,42,2.625
133,64,4
134,0,0
135,64,4
136,0,0
137,32,2
138,0,0
139,0,0
140,24,1.5
141,4,0.25
142,8,0.5
143,0,0
144,13,0.8125
145,0,0
146,0,0
147,0,0
148,0,0
149,16,1
150,0,0
151,0,0
153,56,3.5
154,0,0
155,0,0
156,0,0
157,0,0
158,128,8
159,0,0
160,0,0
161,0,0
162,-16,-1
163,64,4
164,0,0
165,56,3.5
166,0,0
167,0,0
168,0,0
169,0,0
170,24,1.5
172,20,1.25
174,0,0
175,13,0.8125
177,8,0.5
178,0,0
179,0,0
180,0,0
181,0,0
182,12,0.75
183,0,0
184,8,0.5
185,4,0.25
186,8,0.5
187,-8,-0.5
188,4,0.25
189,16,1
190,0,0
191,0,0
192,16,1
193,0,0
194,0,0
195,0,0
196,0,0
197,0,0
198,0,0
199,64,4
200,0,0
201,0,0
202,8,0.5
204,32,2
205,0,0
206,0,0
207,40,2.5
208,128,8
209,0,0
210,0,0
211,0,0
212,4,0.25
213,0,0
214,32,2
216,0,0
217,0,0
218,0,0
219,16,1
220,0,0
221,0,0
222,0,0
223,0,0
224,16,1
225,112,7
226,2,0.125
227,0,0
228,0,0
229,0,0
230,0,0
232,0,0
233,36,2.25
234,32,2
235,0,0
236,0,0
237,145,9.0625
238,3,0.1875
239,20,1.25
240,2,0.125
241,0,0
242,16,1
243,0,0
244,0,0
245,16,1
246,0,0
